,COUNTRY,INDICATOR,2016,2017,2018,2019,2020,2021,2022,2023
268,Central African Republic,Value of mobile money transactions (during the reference year),76.0,191.0,,,,,,
269,India,Value of mobile money transactions (during the reference year),205841.556,532416.847,1086747.649,1832950.649,1814028.890605,1520648.29109156,2201833.28717426,2218958.0
270,Portugal,Value of mobile money transactions (during the reference year),,,,,,,,
271,Colombia,Value of mobile money transactions (during the reference year),,,1806.0,104958.0,,,,
272,Sweden,Value of mobile money transactions (during the reference year),,,,,,,,
273,Vietnam,Value of mobile money transactions (during the reference year),,,,,,,19000000.0,
274,"Marshall Islands, Republic of the",Value of mobile money transactions (during the reference year),,,,,,,,
275,Colombia,Value of mobile money transactions (during the reference year),,,0.0001828321983091567,0.0099010629506786,,,,
276,"Micronesia, Federated States of",Value of mobile money transactions (during the reference year),,,,,,,,
277,Algeria,Value of mobile money transactions (during the reference year),,,,,,,,
278,Portugal,Value of mobile money transactions (during the reference year),,,,,,,,
279,United Arab Emirates,Value of mobile money transactions (during the reference year),,,,,,,,
280,United States,Value of mobile money transactions (during the reference year),,,,,,,,
281,Djibouti,Value of mobile money transactions (during the reference year),,,,,,,,
282,Vietnam,Value of mobile money transactions (during the reference year),,,,,,,0.198979180878471,
283,"Micronesia, Federated States of",Value of mobile money transactions (during the reference year),,,,,,,,
284,"South Sudan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
285,Nepal,Value of mobile money transactions (during the reference year),,,,1.473511302603585,3.792210712928667,2.629079359545984,3.703222413336403,4.109673070644483
286,"Gambia, The",Value of mobile money transactions (during the reference year),,,,0.0539684638805785,0.0567878585749727,0.0635149128944895,0.0756822737916203,1.279305969206582
287,El Salvador,Value of mobile money transactions (during the reference year),,,,,0.1856581524675138,1.816339256616695,2.43084167893133,1.545146580982502
288,Algeria,Value of mobile money transactions (during the reference year),,,,,,,,
289,Lao People's Democratic Republic,Value of mobile money transactions (during the reference year),,,,,,,,
290,"Marshall Islands, Republic of the",Value of mobile money transactions (during the reference year),,,,,,,,
291,Honduras,Value of mobile money transactions (during the reference year),,,,,,1.904175534211039,1.716648472690395,1.328524741394753
292,Thailand,Value of mobile money transactions (during the reference year),0.2966366027049272,0.4394398380647937,0.6968135340473842,1.010043001510909,1.664119643776493,2.551267140503901,3.037535079017943,3.396067894809079
293,Cabo Verde,Value of mobile money transactions (during the reference year),,,,,,,,
294,Barbados,Value of mobile money transactions (during the reference year),,,,,,,,
295,United Arab Emirates,Value of mobile money transactions (during the reference year),,,,,,,,
296,"Serbia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
297,Burundi,Value of mobile money transactions (during the reference year),,,,,,,,
298,Germany,Value of mobile money transactions (during the reference year),,,,,,,,
299,Central African Republic,Value of mobile money transactions (during the reference year),0.0070271729683148,0.0158726992896344,,,,,,
300,Bolivia,Value of mobile money transactions (during the reference year),0.2724561166786199,0.3638331802351862,0.4517046850527066,0.5318722011996992,0.8964403195250382,1.186578099866036,1.485900737890761,3.897818504627564
301,Romania,Value of mobile money transactions (during the reference year),0.0027215288497897,0.0003045925100135659,,,,,,
302,"Azerbaijan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
303,Panama,Value of mobile money transactions (during the reference year),,,,,,,,
304,Brazil,Value of mobile money transactions (during the reference year),,,,,,,,
305,Tunisia,Value of mobile money transactions (during the reference year),,,,,,,0.0021673841912442,0.0321004718238771
306,"Ethiopia, The Federal Democratic Republic of",Value of mobile money transactions (during the reference year),,,,,,,0.3956399326621748,
307,Libya,Value of mobile money transactions (during the reference year),,128385.415,199029956.608,99711811.166,84502160.888,82524669.562,41806076.458,
308,"Ethiopia, The Federal Democratic Republic of",Value of mobile money transactions (during the reference year),,,,,,,24359.61,
309,Libya,Value of mobile money transactions (during the reference year),,137.155992068834,190142.869051406,102970.306515689,130001.324422701,45932.0128693639,18984.2954843925,
310,Sierra Leone,Value of mobile money transactions (during the reference year),,,,,,,19878618461.0,39295169906.0
311,Sierra Leone,Value of mobile money transactions (during the reference year),,,,,,,34560090.5109616,48412145.06455746
312,Australia,Value of mobile money transactions (during the reference year),,,,,,,,
313,Belgium,Value of mobile money transactions (during the reference year),,,,,,,,
314,Canada,Value of mobile money transactions (during the reference year),,,,,,,,
315,"Korea, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
316,Ecuador,Value of mobile money transactions (during the reference year),,,,,,,,
317,Japan,Value of mobile money transactions (during the reference year),,,,,,,,
318,"Bahrain, Kingdom of",Value of mobile money transactions (during the reference year),,,,,,,394.0,749.84451
319,"Bahrain, Kingdom of",Value of mobile money transactions (during the reference year),,,,,,,2.36096097103808,4.61582528371667
320,"Belarus, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
321,Saudi Arabia,Value of mobile money transactions (during the reference year),,,,,,,,
322,Oman,Value of mobile money transactions (during the reference year),,,,,,,,
323,"Andorra, Principality of",Value of mobile money transactions (during the reference year),,,,,,,,
324,"Andorra, Principality of",Value of mobile money transactions (during the reference year),,,,,,,,
325,Sri Lanka,Value of mobile money transactions (during the reference year),,,,,,,,
326,"Congo, Republic of",Value of mobile money transactions (during the reference year),60524.81548563878,49989.67344882571,8716.637090068132,3099525.636495763,2721306.656620595,843946.2273849634,108117.6319725896,
327,"Congo, Republic of",Value of mobile money transactions (during the reference year),3920777236.0,3435173710.0,715296879.0,253822191945.0,179639340873.0,69383351192.0,10666913681.0,
328,Nigeria,Value of mobile money transactions (during the reference year),756897.48365281,1103386.01047,1974251.41954225,4428106.41651107,14987738.8658316,15395017.340242,32599014.78538,97163887.0253867
329,Zambia,Value of mobile money transactions (during the reference year),777.0,1285.0,18445.5339289346,43840.0,95443.32,169402.43,295828.1,451984.60278049
330,"Tanzania, United Republic of",Value of mobile money transactions (during the reference year),,,,,,,,15270854.6956165
331,Namibia,Value of mobile money transactions (during the reference year),1.859135894573674,5.974702033425505,2.992839498705992,4.84781828172995,,6.159563865243939,5.958994037806163,
332,Nigeria,Value of mobile money transactions (during the reference year),0.737893637861112,0.9603074096918016,1.529397100404585,3.040464558745644,9.716378316197618,8.743418122759884,16.10901611927684,41.44758802801652
333,"Tanzania, United Republic of",Value of mobile money transactions (during the reference year),,,,,,,,8.095339786106207
334,Zambia,Value of mobile money transactions (during the reference year),0.3595590889318735,0.5218231730097624,6.703213272734342,14.59150795398758,28.6857048313366,38.2971565010413,59.88855857833454,79.40370054588215
335,Guyana,Value of mobile money transactions (during the reference year),2840.905904,4904.495921,6955.794928,9601.0,23771.74746,56895.57116,15082.0,32516.0
336,Guyana,Value of mobile money transactions (during the reference year),0.3069003447206747,0.5002045818553429,0.6994460304563628,0.8900289136567201,2.083857250930742,3.393460379906288,0.4914650232795791,0.9290434361235494
337,"Eswatini, Kingdom of",Value of mobile money transactions (during the reference year),2.362282245343716,3.637823536694428,4.683891957178902,5.473745767532435,6.867061905517163,8.122755781933048,11.52946792251802,10.4765099410205
338,"Eswatini, Kingdom of",Value of mobile money transactions (during the reference year),1326.0,2135.0,2894.0,3556.0,4504.0,5825.0,9038.0,8889.0
339,"São Tomé and Príncipe, Democratic Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
340,"São Tomé and Príncipe, Democratic Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
341,"Mauritania, Islamic Republic of",Value of mobile money transactions (during the reference year),0.3247274815809595,,,,0.2922193509889799,9.105107548583051,,
342,"Nauru, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
