Unnamed: 0,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
1028,Bihar,2016,9.3,0.6,5.6,3.9,84.0,128.7,356.4,150.8,357.9,60.8,0.0,0.0,1158.0,9.9,93.5,993.9,60.8
1029,Bihar,2017,0.7,0.0,22.8,21.8,79.7,84.6,379.9,342.8,129.6,50.1,0.0,0.0,1112.0,0.7,124.3,936.8,50.2
1129,East Uttar Pradesh,2000,2.6,5.3,2.9,10.5,38.6,199.1,240.9,204.7,222.7,1.3,18.1,0.2,946.8,7.9,52.0,867.4,19.5
1130,East Uttar Pradesh,2001,1.1,1.4,1.3,4.2,26.7,229.0,294.0,185.9,152.1,75.3,2.8,0.0,973.8,2.6,32.2,860.9,78.1
1131,East Uttar Pradesh,2002,15.0,26.1,0.6,2.5,29.2,50.6,101.7,212.1,226.7,20.6,1.4,2.7,689.1,41.1,32.2,591.1,24.7
1132,East Uttar Pradesh,2003,13.8,36.9,2.6,8.8,2.0,124.9,255.2,301.4,333.8,7.6,0.0,9.3,1096.4,50.7,13.4,1015.3,16.9
1133,East Uttar Pradesh,2004,22.8,1.8,0.0,8.7,25.8,161.0,219.5,147.6,126.5,33.0,0.1,0.1,746.9,24.6,34.5,654.6,33.2
1134,East Uttar Pradesh,2005,14.0,14.0,10.3,0.9,8.0,57.5,290.3,227.3,119.7,25.2,0.0,2.9,770.3,28.0,19.2,694.8,28.2
1135,East Uttar Pradesh,2006,0.0,0.0,10.7,7.8,27.1,107.4,269.1,146.7,51.5,9.1,1.2,1.5,632.1,0.0,45.6,574.8,11.8
1136,East Uttar Pradesh,2007,0.1,46.6,25.8,3.2,28.3,64.5,265.2,180.4,111.5,14.6,0.0,1.1,741.2,46.7,57.2,621.6,15.7
1137,East Uttar Pradesh,2008,3.1,2.4,0.2,3.0,16.1,223.7,341.6,239.6,112.7,10.3,0.6,0.0,953.4,5.5,19.3,917.6,10.9
1138,East Uttar Pradesh,2009,0.0,1.1,0.8,0.6,22.8,29.9,149.4,177.0,139.6,80.9,4.9,3.0,610.2,1.1,24.2,496.0,88.9
1139,East Uttar Pradesh,2010,2.2,10.0,0.0,0.0,14.7,23.9,220.8,215.9,184.5,15.5,4.5,0.1,692.2,12.2,14.7,645.2,20.1
1140,East Uttar Pradesh,2011,1.0,2.7,1.6,2.9,32.2,163.8,197.9,232.1,146.4,0.6,0.0,0.0,781.2,3.7,36.7,740.2,0.6
1141,East Uttar Pradesh,2012,20.3,1.2,3.4,2.8,0.2,18.5,234.2,156.0,164.4,0.7,0.3,0.7,602.7,21.5,6.4,573.1,1.8
1142,East Uttar Pradesh,2013,6.1,59.6,2.7,8.7,1.1,309.7,230.0,246.1,78.2,97.4,0.5,1.1,1041.4,65.8,12.6,864.0,99.0
1143,East Uttar Pradesh,2014,47.4,25.8,15.4,1.7,10.7,47.8,224.5,138.1,106.7,74.7,0.0,8.4,701.2,73.3,27.7,517.1,83.1
1144,East Uttar Pradesh,2015,30.0,4.1,48.2,23.2,8.6,95.3,179.0,175.8,21.9,11.8,0.5,4.9,603.3,34.1,80.0,472.0,17.2
1145,East Uttar Pradesh,2016,5.3,1.3,9.5,0.0,39.3,77.1,338.1,224.4,150.7,25.9,0.0,0.0,871.7,6.6,48.8,790.3,25.9
1146,East Uttar Pradesh,2017,9.7,0.1,4.3,2.0,25.8,50.8,328.9,185.1,85.2,3.0,0.0,0.0,695.0,9.8,32.2,650.0,3.0
1246,West Uttar Pradesh,2000,8.8,22.9,1.7,2.1,23.6,143.0,251.2,238.9,79.1,0.0,0.0,0.0,771.4,31.7,27.4,712.2,0.1
1247,West Uttar Pradesh,2001,2.5,2.3,2.6,12.0,29.6,164.4,282.0,122.1,26.7,16.3,1.1,0.1,661.7,4.8,44.2,595.2,17.6
1248,West Uttar Pradesh,2002,16.8,37.6,2.0,0.7,21.5,29.0,29.6,252.3,218.1,6.7,0.4,10.5,625.2,54.5,24.2,529.0,17.6
1249,West Uttar Pradesh,2003,18.6,40.4,2.5,4.4,5.9,74.1,315.6,214.2,356.6,0.7,0.8,13.6,1047.5,59.0,12.9,960.5,15.1
1250,West Uttar Pradesh,2004,20.6,0.7,0.0,20.0,21.7,59.3,124.2,250.5,84.0,60.5,0.7,0.2,642.3,21.3,41.7,517.9,61.4
1251,West Uttar Pradesh,2005,10.1,17.9,22.6,1.2,6.9,67.1,298.2,96.0,202.5,2.5,0.0,0.6,725.7,28.0,30.7,663.9,3.1
1252,West Uttar Pradesh,2006,0.5,0.0,20.2,4.0,34.1,66.6,241.6,78.1,65.7,16.7,0.7,1.0,529.3,0.5,58.3,452.0,18.4
1253,West Uttar Pradesh,2007,0.4,66.9,37.4,0.9,11.0,88.4,155.1,152.2,57.0,1.8,0.0,1.4,572.5,67.3,49.3,452.7,3.2
1254,West Uttar Pradesh,2008,0.9,0.2,0.0,4.0,24.8,193.8,258.5,217.4,90.9,5.1,4.0,0.0,799.8,1.2,28.8,760.7,9.1
1255,West Uttar Pradesh,2009,1.3,3.9,1.2,8.7,12.8,17.1,118.3,184.5,125.4,59.3,13.9,2.8,549.2,5.2,22.7,445.3,76.0
1256,West Uttar Pradesh,2010,3.2,13.7,0.2,0.4,9.3,12.5,282.0,213.8,263.9,4.7,12.8,4.1,820.7,16.8,10.0,772.3,21.6
1257,West Uttar Pradesh,2011,2.1,10.4,3.9,2.8,29.6,175.9,215.9,232.3,101.7,0.7,0.5,1.5,777.4,12.5,36.3,725.9,2.7
1258,West Uttar Pradesh,2012,14.5,0.1,1.4,4.7,0.3,4.0,145.1,149.1,67.8,0.5,0.1,2.0,389.6,14.5,6.4,366.0,2.7
1259,West Uttar Pradesh,2013,20.4,69.5,3.5,1.6,2.1,190.6,233.9,287.1,52.2,61.2,1.7,8.9,932.8,89.9,7.2,763.8,71.8
1260,West Uttar Pradesh,2014,48.3,29.4,22.6,5.3,11.0,22.0,151.6,81.0,84.7,14.6,0.0,16.3,486.9,77.7,39.0,339.4,30.8
1261,West Uttar Pradesh,2015,31.6,7.2,66.8,21.0,8.1,72.0,194.2,143.5,26.5,6.9,2.0,3.0,582.7,38.8,95.9,436.1,11.9
1262,West Uttar Pradesh,2016,2.1,2.0,10.4,0.5,28.3,60.0,352.5,182.9,44.7,9.6,0.0,0.0,692.8,4.0,39.2,640.1,9.6
1263,West Uttar Pradesh,2017,22.0,1.1,8.5,1.4,13.5,85.1,181.0,129.8,140.7,0.6,0.0,1.6,585.2,23.1,23.4,536.5,2.2
1363,Uttarakhand,2000,29.9,69.4,37.9,18.1,83.3,313.9,420.1,536.1,195.3,1.1,7.0,0.7,1712.9,99.3,139.4,1465.4,8.8
1364,Uttarakhand,2001,22.7,27.9,83.4,48.2,109.1,297.3,493.0,371.7,68.3,6.3,1.4,15.1,1544.4,50.6,240.7,1230.3,22.9
1365,Uttarakhand,2002,53.8,123.2,100.0,76.3,82.3,139.6,205.7,465.4,301.3,19.9,3.0,4.2,1574.7,177.0,258.5,1112.1,27.1
1366,Uttarakhand,2003,40.7,126.0,99.7,54.1,67.1,145.2,515.3,416.2,239.9,1.8,4.8,23.6,1734.3,166.7,220.9,1316.6,30.2
1367,Uttarakhand,2004,58.5,11.7,0.0,51.5,66.0,130.7,400.9,326.3,96.8,70.7,0.8,5.7,1219.6,70.2,117.6,954.7,77.1
1368,Uttarakhand,2005,64.1,83.2,54.2,12.8,52.1,74.0,400.1,249.2,337.9,14.1,2.2,4.3,1348.2,147.3,119.1,1061.3,20.5
1369,Uttarakhand,2006,48.7,9.6,71.7,52.2,120.5,104.2,345.6,294.7,79.1,18.8,6.8,27.0,1178.9,58.3,244.4,823.7,52.6
1370,Uttarakhand,2007,1.7,138.9,123.1,41.1,78.8,139.9,522.9,502.8,325.6,25.1,7.8,16.7,1924.3,140.6,243.0,1491.2,49.6
1371,Uttarakhand,2008,55.6,11.7,18.1,93.0,67.3,332.4,313.3,245.8,190.8,23.1,11.9,0.6,1363.7,67.3,178.4,1082.3,35.7
1372,Uttarakhand,2009,1.8,27.6,18.8,18.4,77.6,41.9,157.5,202.6,206.6,81.3,12.6,0.9,847.8,29.4,114.8,608.7,94.9
1373,Uttarakhand,2010,11.4,62.1,3.8,13.8,47.0,72.7,455.8,335.7,389.7,8.0,4.5,19.5,1424.0,73.6,64.5,1253.9,32.0
1374,Uttarakhand,2011,30.9,65.2,18.0,30.9,84.2,223.1,433.3,523.7,148.4,3.4,1.2,2.3,1564.7,96.1,133.1,1328.5,6.9
1375,Uttarakhand,2012,38.8,11.9,28.1,39.2,9.1,46.0,387.1,419.5,220.6,4.7,3.4,15.5,1223.9,50.8,76.4,1073.1,23.6
1376,Uttarakhand,2013,73.0,188.3,22.0,24.7,18.2,488.9,413.4,359.4,111.3,29.1,3.2,3.8,1735.4,261.3,65.0,1373.0,36.2
1377,Uttarakhand,2014,45.9,99.9,68.4,37.6,52.9,62.9,462.7,264.2,107.9,40.8,0.0,44.3,1287.4,145.8,158.8,897.7,85.1
1378,Uttarakhand,2015,54.5,62.6,127.3,57.3,38.0,186.6,337.0,305.3,52.6,16.8,2.4,7.2,1247.6,117.0,222.6,881.5,26.4
1379,Uttarakhand,2016,5.4,29.3,45.8,9.9,99.3,174.4,508.4,308.5,111.4,12.7,0.0,3.5,1308.6,34.6,155.0,1102.7,16.2
1380,Uttarakhand,2017,36.6,13.5,44.5,52.8,108.2,175.6,460.9,349.0,213.4,2.8,0.2,18.3,1476.0,50.1,205.6,1199.0,21.3
1480,Haryana Delhi & Chandigarh,2000,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0.0,0.4,1.2,384.4,46.2,25.6,311.1,1.6
1481,Haryana Delhi & Chandigarh,2001,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5,23.0,74.8,376.3,11.4
1482,Haryana Delhi & Chandigarh,2002,11.6,31.1,9.0,1.1,52.0,21.2,19.4,78.2,123.0,1.9,0.0,8.8,357.2,42.7,62.1,241.8,10.7
1483,Haryana Delhi & Chandigarh,2003,14.7,29.9,4.0,1.8,7.5,26.6,277.6,165.3,58.9,0.0,0.1,11.0,597.6,44.6,13.3,528.5,11.2
1484,Haryana Delhi & Chandigarh,2004,25.4,0.3,0.0,18.1,40.7,52.5,19.9,252.9,22.1,54.1,0.0,1.2,487.3,25.7,58.8,347.5,55.3
1485,Haryana Delhi & Chandigarh,2005,13.9,35.7,29.9,2.7,7.6,53.9,175.6,52.6,146.7,0.0,0.8,0.0,519.5,49.6,40.3,428.8,0.8
1486,Haryana Delhi & Chandigarh,2006,2.3,0.1,30.4,0.6,24.8,45.4,135.2,32.1,49.9,3.8,1.2,5.2,330.9,2.4,55.7,262.6,10.2
1487,Haryana Delhi & Chandigarh,2007,0.5,76.0,40.1,2.0,12.4,88.7,82.0,87.9,55.2,0.1,0.3,1.4,446.6,76.5,54.6,313.7,1.7
1488,Haryana Delhi & Chandigarh,2008,2.4,0.4,0.6,13.4,72.9,193.5,124.3,174.2,114.5,8.4,5.5,0.2,710.4,2.8,86.9,606.6,14.1
1489,Haryana Delhi & Chandigarh,2009,4.1,5.9,5.7,11.7,17.7,15.2,106.4,63.8,160.8,2.5,1.1,0.4,395.4,10.0,35.2,346.3,4.0
1490,Haryana Delhi & Chandigarh,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8,640.5,15.0,7.2,600.8,17.5
1491,Haryana Delhi & Chandigarh,2011,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4,512.0,27.5,44.4,439.8,0.4
1492,Haryana Delhi & Chandigarh,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4,8.4,15.8,360.7,6.5
1493,Haryana Delhi & Chandigarh,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2,73.2,10.0,363.3,14.7
1494,Haryana Delhi & Chandigarh,2014,13.0,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6,305.5,30.3,54.6,200.2,20.3
1495,Haryana Delhi & Chandigarh,2015,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2,435.3,18.9,114.9,295.2,6.2
1496,Haryana Delhi & Chandigarh,2016,0.0,1.1,20.7,0.6,26.7,35.8,159.8,133.0,14.8,5.2,0.0,1.0,398.7,1.2,48.1,343.3,6.2
1497,Haryana Delhi & Chandigarh,2017,34.2,0.3,7.2,4.3,10.3,121.2,69.2,76.5,92.5,0.0,1.8,4.2,421.6,34.5,21.8,359.4,6.0
1597,Punjab,2000,25.4,26.6,6.9,1.3,15.3,50.1,164.8,70.0,42.0,0.0,0.7,2.2,405.3,52.0,23.5,326.9,2.9
1598,Punjab,2001,8.0,2.1,6.2,24.5,36.9,93.8,173.9,69.5,19.9,1.5,0.9,3.8,441.0,10.1,67.5,357.1,6.2
1599,Punjab,2002,2.4,6.6,6.8,3.3,20.8,24.7,50.4,58.4,95.0,2.6,0.0,3.7,274.7,9.0,31.0,228.4,6.3
1600,Punjab,2003,10.6,56.4,19.4,3.0,3.9,40.7,136.7,94.7,52.2,0.0,2.2,5.0,424.6,67.0,26.2,324.3,7.1
1601,Punjab,2004,32.4,5.7,0.0,15.5,27.2,48.8,52.1,124.2,8.9,31.2,0.8,5.0,351.7,38.0,42.7,234.0,37.0
1602,Punjab,2005,35.8,60.3,28.6,8.4,5.2,34.6,176.7,95.3,106.7,0.4,0.0,0.0,552.0,96.1,42.2,413.4,0.4
1603,Punjab,2006,15.0,3.7,46.1,1.3,32.1,73.0,220.3,90.8,120.7,24.6,13.4,6.7,647.7,18.7,79.5,504.8,44.7
1604,Punjab,2007,1.2,68.8,48.2,10.0,5.9,64.4,95.1,215.4,73.7,0.6,0.9,10.6,594.8,70.0,64.1,448.6,12.1
1605,Punjab,2008,12.0,4.1,0.0,19.7,40.6,155.5,101.9,312.2,59.8,9.9,0.6,0.9,717.1,16.1,60.3,629.3,11.4
1606,Punjab,2009,9.4,14.4,10.5,14.0,5.6,10.6,158.0,76.8,54.7,4.0,2.7,0.4,361.2,23.9,30.1,300.1,7.1
1607,Punjab,2010,3.8,13.8,1.9,0.7,6.0,41.8,143.8,96.7,112.8,4.7,1.1,24.4,451.5,17.6,8.6,395.1,30.2
1608,Punjab,2011,3.5,35.6,8.2,17.8,18.9,162.9,120.9,193.5,140.2,0.0,1.0,2.6,705.2,39.2,44.9,617.5,3.6
1609,Punjab,2012,62.6,3.2,1.9,31.1,1.6,11.9,120.2,135.1,112.3,2.2,0.4,11.0,493.6,65.8,34.7,379.6,13.6
1610,Punjab,2013,9.3,50.1,11.6,3.4,3.6,120.3,117.9,217.1,24.4,16.2,6.1,6.6,586.6,59.4,18.6,479.7,28.9
1611,Punjab,2014,21.8,20.1,30.3,24.5,20.8,20.6,76.3,41.9,105.8,6.0,0.7,14.1,382.7,41.9,75.5,244.6,20.7
1612,Punjab,2015,17.7,31.3,68.5,29.8,16.7,48.3,130.2,88.6,69.2,9.0,0.8,0.7,510.8,49.0,115.0,336.3,10.5
1613,Punjab,2016,6.5,6.0,34.6,0.8,24.8,52.6,153.1,144.8,17.4,1.9,0.5,1.1,444.0,12.5,60.2,367.9,3.4
1614,Punjab,2017,42.4,3.0,14.5,12.3,12.3,110.8,94.4,122.2,62.7,0.0,5.2,17.7,497.5,45.5,39.1,390.1,22.9
1714,Himachal Pradesh,2000,118.2,119.0,68.1,25.6,79.9,198.0,265.1,126.7,50.1,0.0,10.5,6.9,1068.4,237.2,173.7,640.0,17.5
1715,Himachal Pradesh,2001,30.5,35.7,105.8,66.9,67.3,153.8,239.5,202.3,26.9,5.0,20.8,37.3,991.8,66.2,240.0,622.5,63.1
1716,Himachal Pradesh,2002,66.7,136.5,136.9,124.0,27.0,56.1,81.8,225.6,123.1,8.2,0.7,3.9,990.4,203.2,287.9,486.6,12.8
1717,Himachal Pradesh,2003,39.5,116.6,113.0,52.9,35.9,61.4,187.7,228.7,135.5,0.3,22.5,40.4,1034.5,156.1,201.9,613.3,63.2
1718,Himachal Pradesh,2004,86.2,43.0,5.9,54.7,57.6,76.1,141.3,202.5,47.6,104.7,9.3,49.4,878.5,129.3,118.3,467.5,163.5
1719,Himachal Pradesh,2005,147.8,222.9,143.3,35.2,52.4,52.6,317.2,114.2,156.3,1.8,0.3,4.5,1248.5,370.7,230.9,640.3,6.6
1720,Himachal Pradesh,2006,102.5,38.2,137.3,44.3,68.4,104.8,260.3,274.2,92.8,17.5,26.9,51.2,1218.4,140.7,250.0,732.1,95.6
1721,Himachal Pradesh,2007,1.3,121.0,177.0,9.6,39.3,155.7,155.2,234.3,85.7,18.7,1.0,35.6,1034.5,122.3,225.9,631.0,55.4
1722,Himachal Pradesh,2008,129.9,63.2,6.3,44.4,42.9,187.3,194.9,224.7,142.6,33.9,5.3,38.9,1114.2,193.1,93.6,749.4,78.0
1723,Himachal Pradesh,2009,54.8,45.9,43.4,91.2,53.5,45.5,170.2,162.6,172.1,16.4,93.1,7.8,956.5,100.7,188.2,550.3,117.2
1724,Himachal Pradesh,2010,25.5,96.6,45.1,60.3,81.4,108.5,291.8,274.1,176.7,30.5,10.8,58.1,1259.4,122.1,186.8,851.2,99.4
1725,Himachal Pradesh,2011,43.9,97.4,49.7,62.4,45.1,118.3,177.7,380.2,120.3,6.0,0.3,6.9,1108.3,141.3,157.3,796.6,13.2
1726,Himachal Pradesh,2012,92.3,51.3,28.4,55.9,9.4,31.1,241.5,280.6,133.1,3.1,3.2,21.8,951.6,143.5,93.7,686.3,28.1
1727,Himachal Pradesh,2013,79.9,182.6,76.6,28.9,32.6,233.6,208.8,240.0,65.8,21.8,16.6,24.8,1211.9,262.5,138.1,748.2,63.2
1728,Himachal Pradesh,2014,69.6,124.9,125.2,60.6,68.9,51.7,203.6,146.7,84.6,19.3,4.5,49.3,1008.7,194.5,254.6,486.6,73.0
1729,Himachal Pradesh,2015,67.2,156.6,192.5,84.9,45.0,85.8,249.9,195.9,75.5,17.7,14.5,25.0,1210.5,223.9,322.3,607.2,57.2
1730,Himachal Pradesh,2016,18.7,38.4,114.4,47.5,70.2,101.3,194.0,272.7,56.8,5.3,0.0,2.2,921.5,57.2,232.1,624.8,7.5
1731,Himachal Pradesh,2017,157.6,46.3,57.4,88.0,62.0,123.1,216.1,273.1,103.4,0.3,6.9,48.0,1182.2,204.0,207.3,715.7,55.2
1831,Jammu & Kashmir,2000,159.5,106.6,90.4,30.4,51.1,95.5,193.7,123.6,73.2,1.4,21.0,38.2,984.6,266.2,171.9,485.9,60.6
1832,Jammu & Kashmir,2001,17.4,54.3,81.7,92.8,69.6,121.7,243.9,126.7,53.9,12.7,51.6,26.4,952.7,71.7,244.1,546.3,90.6
1833,Jammu & Kashmir,2002,58.7,101.2,105.5,86.3,33.0,94.2,78.7,217.4,97.9,15.2,0.7,14.6,903.5,159.9,224.8,488.3,30.5
1834,Jammu & Kashmir,2003,26.9,267.2,170.9,117.5,111.3,41.0,136.0,185.5,126.1,13.3,33.7,81.7,1311.1,294.2,399.7,488.5,128.8
1835,Jammu & Kashmir,2004,176.0,70.6,21.2,118.9,87.5,95.2,118.0,77.9,40.5,73.3,23.3,42.4,944.9,246.6,227.6,331.8,138.9
1836,Jammu & Kashmir,2005,296.0,403.5,189.7,64.9,92.0,41.6,440.3,77.7,50.0,14.6,21.8,0.5,1692.7,699.5,346.6,609.7,37.0
1837,Jammu & Kashmir,2006,200.3,92.3,96.8,34.4,43.8,74.3,209.0,331.5,203.0,46.2,72.5,115.8,1519.8,292.5,174.9,817.8,234.5
1838,Jammu & Kashmir,2007,12.3,116.7,259.3,15.0,65.6,143.9,132.4,196.8,33.0,1.6,0.0,47.0,1023.5,129.0,339.8,506.1,48.6
1839,Jammu & Kashmir,2008,153.5,130.8,9.9,97.7,63.3,134.9,266.3,166.0,44.7,42.4,25.2,89.8,1224.5,284.2,170.8,612.0,157.4
1841,Jammu & Kashmir,2010,30.9,142.2,34.9,63.9,128.3,67.4,137.3,253.2,65.0,25.0,13.6,36.1,997.9,173.2,227.1,522.9,74.7
1842,Jammu & Kashmir,2011,43.4,211.6,97.8,89.0,32.4,72.5,81.6,131.2,72.0,19.4,12.9,23.8,887.6,254.9,219.2,357.3,56.1
1843,Jammu & Kashmir,2012,150.9,95.8,45.2,86.6,48.9,32.6,118.8,264.9,106.7,15.7,10.8,57.8,1034.7,246.7,180.7,523.0,84.3
1844,Jammu & Kashmir,2013,52.2,136.4,41.9,47.4,47.4,80.5,125.1,219.1,41.2,34.4,13.4,20.3,859.3,188.6,136.7,465.8,68.1
1845,Jammu & Kashmir,2014,75.8,64.0,153.1,76.1,52.7,25.3,100.5,134.6,362.8,32.2,14.1,2.3,1093.4,139.8,281.9,623.2,48.5
1846,Jammu & Kashmir,2015,27.9,187.2,341.4,173.3,64.6,121.4,233.2,129.2,130.2,87.1,38.1,39.3,1572.8,215.1,579.3,614.0,164.5
1847,Jammu & Kashmir,2016,34.5,44.4,191.4,82.0,58.4,62.9,193.0,181.8,45.1,3.3,0.0,6.1,902.8,78.8,331.8,482.7,9.4
1848,Jammu & Kashmir,2017,255.5,106.4,85.0,156.7,38.5,158.5,180.7,161.4,43.3,0.3,11.3,81.5,1278.9,361.8,280.1,543.9,93.1
1948,West Rajasthan,2000,0.5,0.5,0.3,3.1,4.3,8.2,171.6,39.6,5.7,1.1,0.5,0.0,235.3,1.0,7.7,225.1,1.5
1949,West Rajasthan,2001,0.5,1.1,0.1,9.5,23.8,48.6,122.9,68.7,2.8,7.3,0.0,0.0,285.3,1.5,33.4,243.1,7.3
1950,West Rajasthan,2002,0.3,2.6,1.0,1.4,11.2,26.9,2.4,17.2,20.6,0.1,2.5,6.0,92.4,3.0,13.7,67.2,8.6
1951,West Rajasthan,2003,2.5,21.2,0.8,0.4,1.8,45.2,188.4,93.6,13.9,0.2,0.0,0.1,368.1,23.7,3.0,341.1,0.3
1952,West Rajasthan,2004,2.4,0.0,0.0,4.8,6.0,33.5,26.9,94.3,8.6,18.7,0.0,1.6,196.7,2.4,10.8,163.3,20.3
1953,West Rajasthan,2005,1.4,14.2,8.7,6.3,14.5,29.2,86.1,24.3,75.8,0.0,0.1,0.0,260.8,15.6,29.6,215.4,0.1
1954,West Rajasthan,2006,0.0,0.0,16.9,3.4,8.3,36.9,52.7,203.6,31.3,5.3,0.4,2.5,361.3,0.0,28.6,324.4,8.3
1955,West Rajasthan,2007,0.0,34.9,22.0,2.3,3.8,41.2,90.5,69.4,45.6,0.0,0.1,0.9,310.8,35.0,28.1,246.7,1.0
1956,West Rajasthan,2008,1.6,0.2,0.8,18.2,24.7,56.1,57.1,133.3,23.0,0.4,0.4,8.3,324.1,1.8,43.6,269.5,9.1
1957,West Rajasthan,2009,2.9,2.8,5.3,1.6,7.6,26.1,79.1,27.1,7.5,0.3,0.1,0.1,160.4,5.7,14.5,139.8,0.5
1958,West Rajasthan,2010,1.9,1.7,0.6,0.6,3.0,49.5,129.9,163.4,96.5,0.9,20.1,5.2,473.2,3.6,4.1,439.2,26.2
1959,West Rajasthan,2011,0.0,11.8,1.5,1.5,7.8,24.4,88.5,166.8,116.3,0.1,0.0,0.0,418.7,11.8,10.7,396.1,0.1
1960,West Rajasthan,2012,0.5,0.0,0.0,9.5,10.4,5.3,40.4,166.7,92.0,1.9,0.0,0.6,327.3,0.5,19.9,304.3,2.5
1961,West Rajasthan,2013,8.6,21.8,4.2,3.1,1.7,37.6,104.5,138.2,58.7,10.1,1.0,0.0,389.4,30.4,8.9,339.0,11.1
1962,West Rajasthan,2014,0.8,2.2,4.7,8.4,23.0,13.8,94.3,69.6,84.9,0.5,0.2,0.0,302.4,3.0,36.0,262.6,0.7
1963,West Rajasthan,2015,1.4,0.9,30.3,25.2,15.5,53.2,234.6,60.5,35.7,1.1,0.1,0.0,458.4,2.3,71.0,384.0,1.2
1964,West Rajasthan,2016,0.1,1.6,6.7,0.4,4.0,33.2,80.0,191.9,11.0,18.1,0.0,0.0,347.0,1.7,11.1,316.1,18.1
1965,West Rajasthan,2017,6.0,0.3,4.2,3.3,26.1,81.9,219.7,43.1,21.2,0.0,0.6,1.8,408.3,6.3,33.6,365.9,2.4
2065,East Rajasthan,2000,0.3,0.6,0.4,2.3,21.0,20.2,270.6,95.5,28.7,0.4,0.0,0.1,440.0,0.8,23.7,415.0,0.5
2066,East Rajasthan,2001,0.9,0.1,0.3,6.4,22.9,100.2,271.4,126.4,7.7,9.2,0.0,5.8,551.2,1.0,29.5,505.7,15.0
2067,East Rajasthan,2002,1.6,11.0,0.1,1.2,8.6,71.4,13.5,130.6,41.2,0.8,0.8,4.5,285.3,12.6,9.8,256.8,6.0
2068,East Rajasthan,2003,4.1,21.4,0.5,0.2,3.5,76.6,245.8,178.5,93.6,0.1,0.0,2.3,626.6,25.4,4.2,594.4,2.5
2069,East Rajasthan,2004,2.5,0.0,0.0,2.2,9.3,52.8,105.8,380.9,24.7,27.5,0.4,0.1,606.2,2.5,11.5,564.2,28.0
2070,East Rajasthan,2005,0.4,3.6,5.7,6.2,4.8,55.6,239.0,80.0,172.5,0.0,0.0,0.0,567.9,4.1,16.7,547.1,0.0
2071,East Rajasthan,2006,0.0,0.0,11.9,0.4,13.1,73.8,215.9,341.5,88.9,2.4,0.1,0.5,748.4,0.0,25.4,720.0,3.0
2072,East Rajasthan,2007,0.7,16.8,10.6,1.5,5.5,63.0,223.0,167.9,86.1,0.0,0.0,0.5,575.7,17.5,17.6,540.1,0.5
2073,East Rajasthan,2008,0.1,0.0,0.5,9.0,22.1,160.6,166.1,167.9,112.7,3.0,2.4,0.1,644.6,0.1,31.6,607.3,5.5
2074,East Rajasthan,2009,0.5,0.2,2.4,0.2,5.7,38.9,189.1,113.3,45.5,10.9,7.0,0.5,414.1,0.7,8.4,386.7,18.4
2075,East Rajasthan,2010,1.9,2.4,0.5,0.4,0.7,27.3,196.2,275.9,128.9,0.8,49.5,5.0,689.4,4.3,1.6,628.3,55.2
2076,East Rajasthan,2011,0.0,11.2,0.2,0.5,5.1,140.9,193.6,284.1,166.4,0.0,0.0,0.0,802.1,11.2,5.9,784.9,0.0
2077,East Rajasthan,2012,1.9,0.0,0.0,3.6,9.5,11.2,170.5,365.0,131.3,0.5,0.0,0.1,693.6,1.9,13.1,678.0,0.6
2078,East Rajasthan,2013,1.4,21.7,0.4,3.2,1.0,90.6,319.0,278.5,88.0,30.6,1.3,0.3,836.1,23.1,4.6,776.1,32.2
2079,East Rajasthan,2014,28.4,10.0,6.4,7.3,8.4,23.5,197.1,261.0,136.9,3.2,0.0,1.1,683.3,38.4,22.1,618.4,4.4
2080,East Rajasthan,2015,12.1,0.1,55.9,15.9,3.5,96.4,297.6,142.8,20.1,5.0,0.5,0.8,650.7,12.1,75.3,557.0,6.3
2081,East Rajasthan,2016,0.6,0.4,3.8,0.0,9.5,61.7,326.2,385.6,40.2,32.6,0.0,0.0,860.6,1.0,13.3,813.7,32.6
2082,East Rajasthan,2017,8.4,0.0,5.5,0.7,15.1,89.9,293.3,137.3,46.4,0.0,0.4,3.4,600.3,8.4,21.3,566.9,3.8
2183,West Madhya Pradesh,2001,2.1,0.0,1.1,6.0,16.4,203.6,269.2,198.9,27.5,62.2,0.0,0.0,787.0,2.2,23.5,699.1,62.2
2184,West Madhya Pradesh,2002,0.4,19.7,1.5,1.7,3.9,138.9,46.9,317.7,141.0,5.9,5.9,0.8,684.1,20.1,7.1,644.4,12.6
