file,data_label,variable,variable_label
LEVEL - 07 (Section 4.2).dta,,FSU_Serial_No,FSU Serial No.
LEVEL - 07 (Section 4.2).dta,,Sector,Sector
LEVEL - 07 (Section 4.2).dta,,State,State
LEVEL - 07 (Section 4.2).dta,,NSS_Region,NSS-Region
LEVEL - 07 (Section 4.2).dta,,District,District
LEVEL - 07 (Section 4.2).dta,,Stratum,Stratum
LEVEL - 07 (Section 4.2).dta,,Sub_stratum,Sub-stratum
LEVEL - 07 (Section 4.2).dta,,Panel,Panel
LEVEL - 07 (Section 4.2).dta,,Sub_sample,Sub-sample
LEVEL - 07 (Section 4.2).dta,,FOD_Sub_Region,FOD-Sub-Region
LEVEL - 07 (Section 4.2).dta,,Sample_SU_No,Sample SU No.
LEVEL - 07 (Section 4.2).dta,,Sample_Sub_Division_No,Sample Sub-division no.
LEVEL - 07 (Section 4.2).dta,,Second_Stage_Stratum_No,Second-stage-stratum no.
LEVEL - 07 (Section 4.2).dta,,Sample_Household_No,Sample hhld. No.
LEVEL - 07 (Section 4.2).dta,,Questionnaire_No,Questionnaire No.
LEVEL - 07 (Section 4.2).dta,,Level,Level
LEVEL - 07 (Section 4.2).dta,,Kerosene_ration_card,Whether the household procured kerosene using ration card during last 30 days - 
LEVEL - 07 (Section 4.2).dta,,LPG_subsidy_received,Whether household received subsidy on LPG cylinder during the last 3 months?
LEVEL - 07 (Section 4.2).dta,,LPG_subsidized_cylinders,If yes in Q4.2.1 Number of subsidized LPG cylinder received during the last 3 mo
LEVEL - 07 (Section 4.2).dta,,Free_electricity,Whether household received free electricity during the last 30 days
LEVEL - 07 (Section 4.2).dta,,Any_member_attended_school,Whether any household member is attending/attended educational institution durin
LEVEL - 07 (Section 4.2).dta,,Num_govt_school_attended,If Code 1 in Q4.2.3 Number attending /attended Govt. Institution ?
LEVEL - 07 (Section 4.2).dta,,Num_private_school_attended,If Code 1 in Q4.2.3 Number  attending /attended Private Institution ?
LEVEL - 07 (Section 4.2).dta,,Free_textbooks_received,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received foll
LEVEL - 07 (Section 4.2).dta,,Total_textbooks,Total no. of free textbooks received
LEVEL - 07 (Section 4.2).dta,,Free_stationery_received,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received foll
LEVEL - 07 (Section 4.2).dta,,Total_stationery,Total no. of free stationaries received
LEVEL - 07 (Section 4.2).dta,,Free_school_bag_received,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received foll
LEVEL - 07 (Section 4.2).dta,,Total_school_bags,Total no. of free school bags received
LEVEL - 07 (Section 4.2).dta,,Free_other_items_received,[Checkbox] If Code 1 in Q4.2.3 whether any member of the household received foll
LEVEL - 07 (Section 4.2).dta,,Total_other_items,Total no. of free other items received
LEVEL - 07 (Section 4.2).dta,,Fee_waiver_received,If Code 1 in Q4.2.3 Whether Any member received reimbursement/waiver of school/c
LEVEL - 07 (Section 4.2).dta,,Num_fee_waiver_received,If Code 1 in Q4.2.6 Number of member received reimbursement/waiver  ?
LEVEL - 07 (Section 4.2).dta,,Ayushman_beneficiary,Is one or more member of the household a benificiary of Pradhan Mantri Jan Aarog
LEVEL - 07 (Section 4.2).dta,,Num_ayushman_beneficiaries,If Code 1 in Q4.2.7 Number of beneficiaries ?
LEVEL - 07 (Section 4.2).dta,,Hospitalization_case,Whether there was any case of hospitalization in the household during last 365 d
LEVEL - 07 (Section 4.2).dta,,Medical_benefit_received,Whether one or more member of the household has received benefits of medical tre
LEVEL - 07 (Section 4.2).dta,,Num_medical_beneficiaries,If yes in Q4.2.9 number of member received benifit ?
LEVEL - 07 (Section 4.2).dta,,Medical_benefit_amount,If yes in Q4.2.9 Amount ?
LEVEL - 07 (Section 4.2).dta,,Online_purchase_fuel_light,Whether any online purchase/payment has been made during the reference period to
LEVEL - 07 (Section 4.2).dta,,Online_purchase_toilet_articles,Whether any online purchase/payment has been made during the reference period to
LEVEL - 07 (Section 4.2).dta,,Online_purchase_education,Whether any online purchase/payment has been made during the reference period to
LEVEL - 07 (Section 4.2).dta,,Online_purchase_medicine,Whether any online purchase/payment has been made during the reference period to
LEVEL - 07 (Section 4.2).dta,,Online_purchase_services,Whether any online purchase/payment has been made during the reference period to
LEVEL - 07 (Section 4.2).dta,,Multiplier,Multiplier
LEVEL - 12 (Section 13).dta,,Survey_Name,Survey Name
LEVEL - 12 (Section 13).dta,,Year,Year
LEVEL - 12 (Section 13).dta,,FSU_Serial_No,FSU Serial No.
LEVEL - 12 (Section 13).dta,,Sector,Sector
LEVEL - 12 (Section 13).dta,,State,State
LEVEL - 12 (Section 13).dta,,NSS_Region,NSS-Region
LEVEL - 12 (Section 13).dta,,District,District
LEVEL - 12 (Section 13).dta,,Stratum,Stratum
LEVEL - 12 (Section 13).dta,,Sub_stratum,Sub-stratum
LEVEL - 12 (Section 13).dta,,Panel,Panel
LEVEL - 12 (Section 13).dta,,Sub_sample,Sub-sample
LEVEL - 12 (Section 13).dta,,FOD_Sub_Region,FOD-Sub-Region
LEVEL - 12 (Section 13).dta,,Sample_SU_No,Sample SU No.
LEVEL - 12 (Section 13).dta,,Sample_Sub_Division_No,Sample Sub-division no.
LEVEL - 12 (Section 13).dta,,Second_Stage_Stratum_No,Second-stage-stratum no.
LEVEL - 12 (Section 13).dta,,Sample_Household_No,Sample hhld. No.
LEVEL - 12 (Section 13).dta,,Questionnaire_No,Questionnaire No.
LEVEL - 12 (Section 13).dta,,Level,Level
LEVEL - 12 (Section 13).dta,,ITEM_CODE,Item Code
LEVEL - 12 (Section 13).dta,,QUANTITY,Quantity (0.00)
LEVEL - 12 (Section 13).dta,,VALUE,Value (Rs.)
LEVEL - 12 (Section 13).dta,,MULTIPLIER,Multiplier
Level - 13 (Section 14).dta,,Survey_Name,Survey Name
Level - 13 (Section 14).dta,,Year,Year
Level - 13 (Section 14).dta,,FSU_Serial_No,FSU Serial No.
Level - 13 (Section 14).dta,,Sector,Sector
Level - 13 (Section 14).dta,,State,State
Level - 13 (Section 14).dta,,NSS_Region,NSS-Region
Level - 13 (Section 14).dta,,District,District
Level - 13 (Section 14).dta,,Stratum,Stratum
Level - 13 (Section 14).dta,,Sub_stratum,Sub-stratum
Level - 13 (Section 14).dta,,Panel,Panel
Level - 13 (Section 14).dta,,Sub_sample,Sub-sample
Level - 13 (Section 14).dta,,FOD_Sub_Region,FOD-Sub-Region
Level - 13 (Section 14).dta,,Sample_SU_No,Sample SU No.
Level - 13 (Section 14).dta,,Sample_Sub_Division_No,Sample Sub-division no.
Level - 13 (Section 14).dta,,Second_Stage_Stratum_No,Second-stage-stratum no.
Level - 13 (Section 14).dta,,Sample_Household_No,Sample hhld. No.
Level - 13 (Section 14).dta,,Questionnaire_No,Questionnaire No.
Level - 13 (Section 14).dta,,Level,Level
Level - 13 (Section 14).dta,,ITEM_CODE,Item Code
Level - 13 (Section 14).dta,,FIRST_PURCHASE_NUMBER,First-hand purchase:number
Level - 13 (Section 14).dta,,PURCHASED_ON_HIRE,Whether purchased on hire
Level - 13 (Section 14).dta,,FIRST_PURCHASE_VALUE,First-hand purchase:Value(Rs.)
Level - 13 (Section 14).dta,,REPAIR_COST,Cost of repair & maintenance /cost of raw material and services for construction
Level - 13 (Section 14).dta,,SECOND_HAND_NUMBER,2nd-hand purchase:Number
Level - 13 (Section 14).dta,,SECOND_HAND_VALUE,2nd-hand purchase:Value(Rs.)
Level - 13 (Section 14).dta,,TOTAL_EXPENDITURE,Total expenditure(Rs.)
Level - 13 (Section 14).dta,,MULTIPLIER,Multiplier
LEVEL - 09 (Section 9 & 10 & 11).dta,,Survey_Name,Survey Name
LEVEL - 09 (Section 9 & 10 & 11).dta,,Year,Year
LEVEL - 09 (Section 9 & 10 & 11).dta,,FSU_Serial_No,FSU Serial No.
LEVEL - 09 (Section 9 & 10 & 11).dta,,Sector,Sector
LEVEL - 09 (Section 9 & 10 & 11).dta,,State,State
LEVEL - 09 (Section 9 & 10 & 11).dta,,NSS_Region,NSS-Region
LEVEL - 09 (Section 9 & 10 & 11).dta,,District,District
LEVEL - 09 (Section 9 & 10 & 11).dta,,Stratum,Stratum
LEVEL - 09 (Section 9 & 10 & 11).dta,,Sub_stratum,Sub-stratum
LEVEL - 09 (Section 9 & 10 & 11).dta,,Panel,Panel
LEVEL - 09 (Section 9 & 10 & 11).dta,,Sub_sample,Sub-sample
LEVEL - 09 (Section 9 & 10 & 11).dta,,FOD_Sub_Region,FOD-Sub-Region
LEVEL - 09 (Section 9 & 10 & 11).dta,,Sample_SU_No,Sample SU No.
LEVEL - 09 (Section 9 & 10 & 11).dta,,Sample_Sub_Division_No,Sample Sub-division no.
LEVEL - 09 (Section 9 & 10 & 11).dta,,Second_Stage_Stratum_No,Second-stage-stratum no.
LEVEL - 09 (Section 9 & 10 & 11).dta,,Sample_Household_No,Sample hhld. No.
LEVEL - 09 (Section 9 & 10 & 11).dta,,Questionnaire_No,Questionnaire No.
LEVEL - 09 (Section 9 & 10 & 11).dta,,Level,Level
LEVEL - 09 (Section 9 & 10 & 11).dta,,Item_Code_9_1_to_11_4,Item Code
LEVEL - 09 (Section 9 & 10 & 11).dta,,Value_Rs_9_1_to_11_4,Value(Rs.)
LEVEL - 09 (Section 9 & 10 & 11).dta,,Multiplier,Multiplier
